Strategy,D1 Gross,D1 Net,D2 Gross,D2 Net,D3 Gross,D3 Net,D4 Gross,D4 Net,D5 Gross,D5 Net,D6 Gross,D6 Net,D7 Gross,D7 Net,D8 Gross,D8 Net,D9 Gross,D9 Net,D10 Gross,D10 Net,L/S Ret Gross,L/S Ret Net,Sharpe Gross,Sharpe Net,t-stat Gross,t-stat Net,N Periods
1D CNN  I5,11.27%,10.43%,13.80%,12.96%,15.33%,14.49%,16.04%,15.20%,17.39%,16.55%,18.51%,17.67%,18.99%,18.15%,20.14%,19.30%,20.29%,19.45%,22.63%,21.79%,11.36%,9.68%,1.422,1.211,[4.47],[3.81],49
1D CNN I20,9.84%,9.00%,15.86%,15.02%,16.47%,15.63%,17.49%,16.65%,17.32%,16.48%,18.36%,17.52%,17.10%,16.26%,20.27%,19.43%,20.87%,20.03%,20.82%,19.98%,10.99%,9.31%,1.295,1.097,[5.23],[4.43],49
1D CNN I60,11.60%,10.76%,14.61%,13.77%,15.38%,14.54%,18.41%,17.57%,17.52%,16.68%,17.45%,16.61%,17.34%,16.50%,19.67%,18.83%,22.10%,21.26%,20.31%,19.47%,8.70%,7.02%,0.934,0.753,[5.13],[4.14],49
2D CNN  I5,11.07%,10.23%,13.85%,13.01%,15.87%,15.03%,14.85%,14.01%,19.52%,18.68%,18.49%,17.65%,21.00%,20.16%,21.13%,20.29%,18.75%,17.91%,19.85%,19.01%,8.78%,7.10%,1.046,0.846,[3.86],[3.12],49
Logistic I5,14.88%,14.04%,16.00%,15.16%,17.11%,16.27%,18.16%,17.32%,18.69%,17.85%,17.65%,16.81%,18.19%,17.35%,17.69%,16.85%,18.88%,18.04%,17.14%,16.30%,2.26%,0.58%,0.203,0.052,[0.77],[0.20],49
Logistic I20,12.97%,12.13%,16.82%,15.98%,17.57%,16.73%,17.39%,16.55%,19.10%,18.26%,19.34%,18.50%,17.65%,16.81%,18.68%,17.84%,18.75%,17.91%,16.11%,15.27%,3.15%,1.47%,0.233,0.108,[0.70],[0.32],49
Logistic I60,8.02%,7.18%,15.78%,14.94%,16.42%,15.58%,18.15%,17.31%,18.43%,17.59%,19.90%,19.06%,19.83%,18.99%,18.71%,17.87%,19.63%,18.79%,19.53%,18.69%,11.50%,9.82%,0.905,0.773,[3.48],[2.97],49
