Strategy,D1 Gross,D1 Net,D2 Gross,D2 Net,D3 Gross,D3 Net,D4 Gross,D4 Net,D5 Gross,D5 Net,D6 Gross,D6 Net,D7 Gross,D7 Net,D8 Gross,D8 Net,D9 Gross,D9 Net,D10 Gross,D10 Net,L/S Ret Gross,L/S Ret Net,Sharpe Gross,Sharpe Net,t-stat Gross,t-stat Net,N Periods
1D CNN  I5,1.49%,-1.03%,9.81%,7.29%,13.22%,10.70%,15.16%,12.64%,18.20%,15.68%,19.20%,16.68%,18.91%,16.39%,21.29%,18.77%,23.51%,20.99%,25.18%,22.66%,23.69%,18.65%,2.566,2.020,[6.87],[5.41],146
1D CNN I20,3.13%,0.61%,10.25%,7.73%,13.18%,10.66%,13.96%,11.44%,17.06%,14.54%,17.00%,14.48%,20.42%,17.90%,21.55%,19.03%,24.61%,22.09%,24.82%,22.30%,21.69%,16.65%,2.113,1.622,[6.36],[4.88],146
1D CNN I60,4.76%,2.24%,10.42%,7.90%,14.89%,12.37%,16.99%,14.47%,17.87%,15.35%,18.37%,15.85%,19.36%,16.84%,19.73%,17.21%,20.71%,18.19%,22.89%,20.37%,18.13%,13.09%,2.014,1.454,[6.71],[4.84],146
2D CNN  I5,1.30%,-1.22%,11.38%,8.86%,13.35%,10.83%,16.58%,14.06%,17.27%,14.75%,20.07%,17.55%,18.83%,16.31%,22.10%,19.58%,21.43%,18.91%,23.68%,21.16%,22.39%,17.35%,2.384,1.847,[6.60],[5.11],146
Logistic I5,8.73%,6.21%,13.94%,11.42%,15.41%,12.89%,17.88%,15.36%,18.21%,15.69%,18.07%,15.55%,18.38%,15.86%,20.85%,18.33%,18.53%,16.01%,15.98%,13.46%,7.25%,2.21%,0.593,0.181,[2.06],[0.63],146
Logistic I20,9.63%,7.11%,10.74%,8.22%,13.61%,11.09%,14.97%,12.45%,16.72%,14.20%,18.20%,15.68%,20.13%,17.61%,20.76%,18.24%,20.69%,18.17%,20.52%,18.00%,10.89%,5.85%,0.948,0.509,[2.93],[1.57],146
Logistic I60,5.98%,3.46%,12.61%,10.09%,14.94%,12.42%,15.57%,13.05%,18.31%,15.79%,17.62%,15.10%,19.35%,16.83%,20.73%,18.21%,20.18%,17.66%,20.70%,18.18%,14.73%,9.69%,1.119,0.736,[4.47],[2.94],146
