Model,Category,Q1 Return,Q1 Sharpe,Q2 Return,Q2 Sharpe,Q3 Return,Q3 Sharpe,Q4 Return,Q4 Sharpe,Q5 Return,Q5 Sharpe,Spread Return,Spread Sharpe,Spread MaxDD
Basic Momentum,Rule-based,0.1325223899680501,0.5511790159526593,0.1636479473250252,0.7483831422018234,0.16435186209343033,0.7588603370228031,0.15796618954356467,0.7075554741407897,0.1175867759787621,0.48923003727112135,-0.014935613989287999,-0.09716617267787181,-0.34874714520530875
L1 Logistic,Linear,0.02672113445921176,0.11087968000379805,0.1274062524910855,0.5599441465537169,0.156171348973821,0.716398803514761,0.19388564291007637,0.8994847322629392,0.24188171353566346,1.0764933955482485,0.2151605790764517,1.7520245962178143,-0.08150970541968672
L2 Logistic,Linear,0.030370932458861688,0.1260739526557706,0.1266817073822153,0.5575626749336743,0.1570374852216827,0.720478312155392,0.1938110349637383,0.8990462000990792,0.23749271631461366,1.0550808910956688,0.20712178385575197,1.69456731429324,-0.08174357933582671
LDA,Linear,0.03010058334066623,0.12487095974473257,0.1258665293039143,0.5540406492378483,0.1604040613373685,0.7350655737022055,0.19441664168780615,0.9032189507301099,0.23450444036639628,1.0423329096133935,0.20440385702573005,1.6709838563712596,-0.0828965969239205
Random Forest,Tree,0.0189202330423639,0.08035574033942221,0.10932580853376317,0.4763092968135911,0.1631385406974899,0.7237293082403767,0.20642979789938187,0.935968843723821,0.250777454444185,1.1660781762448518,0.23185722140182108,1.758008294431983,-0.07220795344377726
XGBoost,Tree,0.023809548082471155,0.10316288412560862,0.10918894963509684,0.49042497723469747,0.1569888642377124,0.7019795541761891,0.20256408116340086,0.9123215205425161,0.2556329143642109,1.1458207031180057,0.23182336628173972,2.0399485557263026,-0.05100006944444446
LightGBM,Tree,0.0260504376106252,0.11425702595395434,0.09812499877561387,0.42941326042909883,0.16713826328904657,0.7458393181119596,0.20585150551903686,0.9201550511475532,0.25108952716490873,1.1419710174731177,0.22503908955428353,1.852095608892995,-0.05482742253521121
