Model,Category,Q5 Ann.Ret,Q5 Sharpe,Q5 MaxDD,LS Ann.Ret,LS Sharpe,LS MaxDD
Basic Momentum,Rule-based,0.1175867759787621,0.48923003727112135,-0.3731983869722317,-0.014935613989287999,-0.09716617267787181,-0.34874714520530875
L1 Logistic,Linear,0.24188171353566346,1.0764933955482485,-0.2139847090919524,0.2151605790764517,1.7520245962178143,-0.08150970541968672
L2 Logistic,Linear,0.23749271631461366,1.0550808910956688,-0.2128046038695795,0.20712178385575197,1.69456731429324,-0.08174357933582671
LDA,Linear,0.23450444036639628,1.0423329096133935,-0.21428649425441756,0.20440385702573005,1.6709838563712596,-0.0828965969239205
Random Forest,Tree,0.250777454444185,1.1660781762448518,-0.16616418690721566,0.23185722140182108,1.758008294431983,-0.07220795344377726
XGBoost,Tree,0.2556329143642109,1.1458207031180057,-0.18503371916893677,0.23182336628173972,2.0399485557263026,-0.05100006944444446
LightGBM,Tree,0.25108952716490873,1.1419710174731177,-0.17901185104670345,0.22503908955428353,1.852095608892995,-0.05482742253521121
